package,date,downloads
ggplot2,2015-09-23,7018
ggplot2,2015-09-24,7144
ggplot2,2015-09-25,6620
ggplot2,2015-09-26,3303
ggplot2,2015-09-27,3274
ggplot2,2015-09-28,6082
ggplot2,2015-09-29,7620
ggplot2,2015-09-30,6994
ggplot2,2015-10-01,6723
ggplot2,2015-10-02,6481
ggplot2,2015-10-03,3176
ggplot2,2015-10-04,3377
ggplot2,2015-10-05,7147
ggplot2,2015-10-06,7706
ggplot2,2015-10-07,7638
ggplot2,2015-10-08,7497
ggplot2,2015-10-09,6253
ggplot2,2015-10-10,3297
ggplot2,2015-10-11,4297
ggplot2,2015-10-12,7270
ggplot2,2015-10-13,8043
ggplot2,2015-10-14,7789
ggplot2,2015-10-15,7098
ggplot2,2015-10-16,7186
ggplot2,2015-10-17,3844
ggplot2,2015-10-18,3575
ggplot2,2015-10-19,6770
ggplot2,2015-10-20,7933
ggplot2,2015-10-21,7461
ggplot2,2015-10-22,7344
ggplot2,2015-10-23,6326
ggplot2,2015-10-24,3597
ggplot2,2015-10-25,3937
ggplot2,2015-10-26,7556
ggplot2,2015-10-27,7907
ggplot2,2015-10-28,8590
ggplot2,2015-10-29,8528
ggplot2,2015-10-30,6985
ggplot2,2015-10-31,3912
ggplot2,2015-11-01,3990
ggplot2,2015-11-02,8273
ggplot2,2015-11-03,8747
ggplot2,2015-11-04,7947
ggplot2,2015-11-05,9412
ggplot2,2015-11-06,7975
ggplot2,2015-11-07,4540
ggplot2,2015-11-08,3839
ggplot2,2015-11-09,7988
ggplot2,2015-11-10,8000
ggplot2,2015-11-11,7226
ggplot2,2015-11-12,7460
ggplot2,2015-11-13,6682
ggplot2,2015-11-14,3950
ggplot2,2015-11-15,4032
ggplot2,2015-11-16,7136
ggplot2,2015-11-17,7535
ggplot2,2015-11-18,7962
ggplot2,2015-11-19,8197
ggplot2,2015-11-20,6588
ggplot2,2015-11-21,4013
ggplot2,2015-11-22,4011
ggplot2,2015-11-23,7588
ggplot2,2015-11-24,8241
ggplot2,2015-11-25,8085
ggplot2,2015-11-26,8165
ggplot2,2015-11-27,4827
ggplot2,2015-11-28,3531
ggplot2,2015-11-29,4568
ggplot2,2015-11-30,7873
ggplot2,2015-12-01,8425
ggplot2,2015-12-02,7789
ggplot2,2015-12-03,7281
ggplot2,2015-12-04,6699
ggplot2,2015-12-05,4033
ggplot2,2015-12-06,3714
ggplot2,2015-12-07,7189
ggplot2,2015-12-08,7316
ggplot2,2015-12-09,7386
ggplot2,2015-12-10,7880
ggplot2,2015-12-11,8715
ggplot2,2015-12-12,3913
ggplot2,2015-12-13,3938
ggplot2,2015-12-14,6926
ggplot2,2015-12-15,7002
ggplot2,2015-12-16,6275
ggplot2,2015-12-17,6085
ggplot2,2015-12-18,7427
ggplot2,2015-12-19,4650
ggplot2,2015-12-20,4530
ggplot2,2015-12-21,8001
ggplot2,2015-12-22,7546
ggplot2,2015-12-23,6561
ggplot2,2015-12-24,4136
ggplot2,2015-12-25,2622
ggplot2,2015-12-26,3180
ggplot2,2015-12-27,3226
ggplot2,2015-12-28,5059
ggplot2,2015-12-29,5430
ggplot2,2015-12-30,5073
ggplot2,2015-12-31,3227
ggplot2,2016-01-01,2822
ggplot2,2016-01-02,3135
ggplot2,2016-01-03,3124
ggplot2,2016-01-04,7788
ggplot2,2016-01-05,7669
ggplot2,2016-01-06,8144
ggplot2,2016-01-07,8405
ggplot2,2016-01-08,7641
ggplot2,2016-01-09,4170
ggplot2,2016-01-10,4103
ggplot2,2016-01-11,8640
ggplot2,2016-01-12,9702
ggplot2,2016-01-13,9255
ggplot2,2016-01-14,8894
ggplot2,2016-01-15,8146
ggplot2,2016-01-16,5411
ggplot2,2016-01-17,4577
ggplot2,2016-01-18,8759
ggplot2,2016-01-19,9553
ggplot2,2016-01-20,10585
ggplot2,2016-01-21,10023
ggplot2,2016-01-22,8350
ggplot2,2016-01-23,4690
ggplot2,2016-01-24,5263
ggplot2,2016-01-25,10046
ggplot2,2016-01-26,9741
ggplot2,2016-01-27,10819
ggplot2,2016-01-28,10622
ggplot2,2016-01-29,9362
ggplot2,2016-01-30,4389
ggplot2,2016-01-31,4951
ggplot2,2016-02-01,9863
ggplot2,2016-02-02,10677
ggplot2,2016-02-03,9956
ggplot2,2016-02-04,10036
ggplot2,2016-02-05,8478
ggplot2,2016-02-06,4614
ggplot2,2016-02-07,4441
